Date	GBP/CHF			
15 Jul 08	20.149			
16 Jul 08	2.029			
17 Jul 08	20.406			
18 Jul 08	20.386			
21 Jul 08	20.388			
22 Jul 08	20.451			
23 Jul 08	20.738			
24 Jul 08	2.059			
25 Jul 08	20.663			
28 Jul 08	20.603			
29 Jul 08	20.701			
30 Jul 08	20.771			
31 Jul 08	20.761			
01 Aug 08	20.698			
04 Aug 08	20.549			
05 Aug 08	20.594			
06 Aug 08	20.651			
07 Aug 08	20.605			
08 Aug 08	20.724			
11 Aug 08	20.716			
12 Aug 08	20.671			
13 Aug 08	20.292			
14 Aug 08	20.397			
15 Aug 08	20.424			
18 Aug 08	20.509			
19 Aug 08	20.405			
20 Aug 08	20.404			
21 Aug 08	20.374			
22 Aug 08	20.368			
26 Aug 08	20.241			
27 Aug 08	20.207			
28 Aug 08	20.048			
29 Aug 08	2.003			
01 Sep 08	19.837			
02 Sep 08	19.773			
03 Sep 08	19.707			
04 Sep 08	19.694			
05 Sep 08	19.592			
08 Sep 08	19.855			
09 Sep 08	19.915			
10 Sep 08	19.904			
11 Sep 08	19.968			
12 Sep 08	20.225			
15 Sep 08	20.104			
16 Sep 08	19.918			
17 Sep 08	20.072			
18 Sep 08	20.003			
19 Sep 08	20.299			
22 Sep 08	20.082			
23 Sep 08	20.069			
24 Sep 08	20.159			
25 Sep 08	20.061			
26 Sep 08	20.052			
29 Sep 08	19.775			
30 Sep 08	19.977			
01 Oct 08	19.843			
02 Oct 08	20.001			
03 Oct 08	20.102			
06 Oct 08	19.884			
07 Oct 08	20.087			
08 Oct 08	19.629			
09 Oct 08	19.512			
10 Oct 08	1.91			
13 Oct 08	19.704			
14 Oct 08	1.992			
15 Oct 08	19.797			
16 Oct 08	19.483			
17 Oct 08	19.562			
20 Oct 08	19.717			
21 Oct 08	19.579			
22 Oct 08	18.965			
23 Oct 08	18.824			
24 Oct 08	18.251			
27 Oct 08	17.915			
28 Oct 08	18.107			
29 Oct 08	18.533			
30 Oct 08	18.584			
31 Oct 08	18.861			
03/11/2008	18.469			
04/11/2008	18.604			
05/11/2008	18.732			
06/11/2008	18.651			
07/11/2008	18.533			
10/11/2008	18.455			
11/11/2008	18.238			
12/11/2008	17.755			
13/11/2008	17.679			
14/11/2008	17.678			
17/11/2008	17.962			
18/11/2008	1.802			
19/11/2008	18.239			
20/11/2008	18.027			
21/11/2008	18.104			
24/11/2008	18.155			
25/11/2008	18.197			
26/11/2008	18.502			
27/11/2008	18.516			
28/11/2008	18.643			
01 Dec 08	17.954			
02 Dec 08	17.995			
03 Dec 08	17.979			
04 Dec 08	17.734			
05 Dec 08	17.802			
08 Dec 08	17.893			
09 Dec 08	17.907			
10 Dec 08	17.769			
11 Dec 08	17.788			
12 Dec 08	17.573			
15 Dec 08	17.788			
16 Dec 08	17.522			
17 Dec 08	16.745			
18 Dec 08	16.265			
19 Dec 08	16.535			
22 Dec 08	16.171			
23 Dec 08	15.954			
24 Dec 08	15.816			
29 Dec 08	15.159			
30 Dec 08	15.182			
31 Dec 08	15.298			
